Data,Ultimo,Apertura,Massimo,Minimo,Var. %
14.08.2026,"100,911","100,911","100,911","100,911","-0,01%"
13.08.2026,"100,920","100,920","100,920","100,920","+0,01%"
12.08.2026,"100,908","100,908","100,908","100,908","+0,02%"
11.08.2026,"100,890","100,890","100,890","100,890","-0,09%"
10.08.2026,"100,980","100,980","100,980","100,980","-6,12%"
07.08.2026,"100,955","100,954","101,000","100,954","-0,04%"
06.08.2026,"101,000","100,940","101,000","100,940","0,03%"
05.08.2026,"100,972","100,980","101,008","100,967","-0,01%"
04.08.2026,"100,981","100,943","101,049","100,943","0,03%"
03.08.2026,"100,953","100,982","101,009","100,946","0,00%"
31.07.2026,"100,951","100,979","101,010","100,943","-0,03%"
30.07.2026,"100,978","100,942","101,008","100,942","0,01%"
29.07.2026,"100,970","100,912","101,002","100,912","0,00%"
28.07.2026,"100,966","100,954","101,000","100,945","-0,02%"
27.07.2026,"100,985","100,953","101,040","100,953","0,03%"
24.07.2026,"100,953","100,969","100,999","100,900","0,04%"
23.07.2026,"100,916","100,930","100,974","100,910","-0,03%"
22.07.2026,"100,949","100,950","100,980","100,945","-0,02%"
21.07.2026,"100,971","100,981","101,011","100,960","-0,01%"
20.07.2026,"100,985","100,971","101,017","100,971","-0,01%"
17.07.2026,"100,996","101,014","101,030","100,980","-0,02%"
16.07.2026,"101,016","101,012","101,059","100,995","-0,01%"
15.07.2026,"101,025","101,042","101,048","101,011","-0,02%"
14.07.2026,"101,043","101,004","101,069","100,980","-0,01%"
13.07.2026,"101,051","101,090","101,096","101,047","-0,07%"
10.07.2026,"101,120","101,092","101,120","101,079","0,02%"
09.07.2026,"101,096","101,068","101,128","101,068","0,03%"
08.07.2026,"101,063","101,103","101,131","101,045","-0,10%"
07.07.2026,"101,161","101,180","101,201","101,161","-0,07%"
06.07.2026,"101,227","101,194","101,240","101,193","0,06%"
03.07.2026,"101,170","101,184","101,220","101,170","-0,03%"
02.07.2026,"101,204","101,164","101,263","101,164","0,01%"
01.07.2026,"101,194","101,141","101,194","101,141","0,01%"
30.06.2026,"101,180","101,180","101,226","101,178","0,00%"
29.06.2026,"101,178","101,175","101,199","101,175","-0,02%"
26.06.2026,"101,201","101,186","101,238","101,170","0,00%"
25.06.2026,"101,200","101,200","101,250","101,190","0,01%"
24.06.2026,"101,194","101,154","101,247","101,153","0,02%"
23.06.2026,"101,176","101,153","101,210","101,153","0,01%"
22.06.2026,"101,164","101,137","101,203","101,137","0,03%"
19.06.2026,"101,136","101,131","101,169","101,130","-0,03%"
18.06.2026,"101,165","101,160","101,179","101,136","-0,01%"
17.06.2026,"101,179","101,180","101,199","101,162","0,00%"
16.06.2026,"101,180","101,154","101,210","101,154","-0,01%"
15.06.2026,"101,192","101,181","101,230","101,142","0,03%"
12.06.2026,"101,160","101,140","101,200","101,131","0,03%"
11.06.2026,"101,131","101,099","101,177","101,065","0,02%"
10.06.2026,"101,112","101,120","101,190","101,111","-0,04%"
09.06.2026,"101,150","101,170","101,190","101,140","-0,04%"
08.06.2026,"101,190","101,220","101,220","101,110","0,04%"
05.06.2026,"101,150","101,220","101,240","101,150","-0,07%"
04.06.2026,"101,220","101,240","101,280","101,200","0,01%"
03.06.2026,"101,210","101,270","101,300","101,200","-0,07%"
02.06.2026,"101,280","101,290","101,330","101,280","0,02%"
01.06.2026,"101,260","101,300","101,340","101,260","-0,07%"
29.05.2026,"101,330","101,310","101,400","101,310","0,02%"
28.05.2026,"101,310","101,240","101,350","101,230","0,16%"
27.05.2026,"101,150","101,300","101,340","101,150","-0,14%"
26.05.2026,"101,290","101,270","101,340","101,250","-0,06%"
25.05.2026,"101,350","101,260","101,370","101,250","0,13%"
22.05.2026,"101,220","101,220","101,270","101,200","0,02%"
21.05.2026,"101,200","101,200","101,260","101,160","-0,03%"
20.05.2026,"101,230","101,170","101,270","101,170","0,09%"
19.05.2026,"101,140","101,180","101,230","101,140","-0,04%"
18.05.2026,"101,180","101,020","101,220","101,020","0,03%"
15.05.2026,"101,150","101,160","101,220","101,140","-0,05%"
14.05.2026,"101,200","101,200","101,250","101,180","0,02%"
13.05.2026,"101,180","101,160","101,220","101,150","0,03%"
12.05.2026,"101,150","101,100","101,210","101,100","-0,08%"
11.05.2026,"101,230","101,210","101,300","101,200","-0,03%"
08.05.2026,"101,260","101,250","101,350","101,250","-0,07%"
07.05.2026,"101,330","101,280","101,390","101,280","0,04%"
06.05.2026,"101,290","101,160","101,400","101,160","0,12%"
05.05.2026,"101,170","101,110","101,260","101,110","-0,02%"
04.05.2026,"101,190","101,160","101,290","101,030","-0,05%"
30.04.2026,"101,240","101,120","101,320","101,120","0,05%"
29.04.2026,"101,190","101,230","101,280","101,180","-0,09%"
28.04.2026,"101,280","101,300","101,340","101,260","-0,06%"
27.04.2026,"101,340","101,320","101,430","101,320","-0,03%"
24.04.2026,"101,370","101,310","101,400","101,270","0,00%"
23.04.2026,"101,370","101,330","101,400","101,320","-0,02%"
22.04.2026,"101,390","101,460","101,490","101,380","-0,03%"
21.04.2026,"101,420","101,500","101,550","101,420","-0,08%"
20.04.2026,"101,500","101,430","101,580","101,430","-0,06%"
17.04.2026,"101,560","101,350","101,610","101,350","0,14%"
16.04.2026,"101,420","101,440","101,490","101,420","-0,03%"
15.04.2026,"101,450","101,450","101,500","101,370","0,08%"
14.04.2026,"101,370","101,370","101,410","101,340","0,07%"
13.04.2026,"101,300","101,310","101,370","101,300","-0,08%"
10.04.2026,"101,380","101,400","101,460","101,360","-0,01%"
09.04.2026,"101,390","101,390","101,490","101,360","-0,07%"
08.04.2026,"101,460","101,390","101,550","101,370","0,28%"
07.04.2026,"101,180","101,210","101,360","101,180","-0,24%"
02.04.2026,"101,420","101,250","101,420","101,250","0,08%"
01.04.2026,"101,340","101,390","101,510","101,340","0,01%"
31.03.2026,"101,330","101,270","101,350","101,270","0,05%"
30.03.2026,"101,280","101,210","101,300","101,190","0,08%"
27.03.2026,"101,200","101,110","101,270","101,110","-0,02%"
26.03.2026,"101,220","101,270","101,340","101,220","-0,15%"
25.03.2026,"101,370","101,290","101,470","101,280","0,11%"
24.03.2026,"101,260","101,310","101,400","101,230","-0,11%"
23.03.2026,"101,370","100,670","101,530","100,670","0,08%"
20.03.2026,"101,290","101,470","101,510","101,270","-0,16%"
19.03.2026,"101,450","101,510","101,610","101,410","-0,19%"
18.03.2026,"101,640","101,710","101,780","101,620","-0,10%"
17.03.2026,"101,740","101,650","101,770","101,650","0,06%"
16.03.2026,"101,680","101,630","101,750","101,620","0,05%"
13.03.2026,"101,630","101,590","101,720","101,590","-0,09%"
12.03.2026,"101,720","101,650","101,850","101,620","0,00%"
11.03.2026,"101,720","101,770","101,880","101,720","-0,19%"
10.03.2026,"101,910","101,860","102,030","101,840","0,16%"
09.03.2026,"101,750","101,570","101,820","101,550","-0,08%"
06.03.2026,"101,830","101,950","102,010","101,740","-0,21%"
05.03.2026,"102,040","101,920","102,110","101,920","-0,03%"
04.03.2026,"102,070","101,980","102,130","101,980","0,06%"
03.03.2026,"102,010","102,160","102,170","102,000","-0,15%"
02.03.2026,"102,160","102,200","102,250","102,160","-0,09%"
27.02.2026,"102,250","102,250","102,270","102,220","0,00%"
26.02.2026,"102,250","102,230","102,270","102,220","-0,01%"
25.02.2026,"102,260","102,230","102,280","102,230","0,02%"
24.02.2026,"102,240","102,260","102,290","102,240","-0,04%"
