Date,Open,High,Low,Last,Close,Number of Shares,Number of Trades,Turnover
11/08/2026,100.57,100.67,100.19,100.48,100.48,100,1,10050
10/08/2026,100.22,100.89,100.1,100.87,100.87,100,1,10062
07/08/2026,100.65,100.69,99.93,100.51,100.51,70,2,7046
06/08/2026,101.28,101.58,100.93,101.06,101.06,150,1,15237
05/08/2026,101.28,101.37,100.52,100.96,100.96,250,4,25261
04/08/2026,100.69,101.09,100.11,101.09,101.09,400,1,40424
03/08/2026,101.67,102.51,101.12,101.21,101.21,100,1,10251
31/07/2026,101.69,102.52,100.86,100.87,100.87,0,0,0
30/07/2026,100.37,101.8,100.32,101.56,101.56,0,0,0
29/07/2026,102.03,102.88,101.3,102.57,102.57,0,0,0
28/07/2026,98.83,99.34,98.34,99.26,99.26,0,0,0
27/07/2026,98.54,98.75,98.25,98.39,98.39,0,0,0
24/07/2026,97.98,98.1,97.2,97.9,97.9,200,2,19598
23/07/2026,99.06,99.55,98.1,98.15,98.15,350,4,34813
22/07/2026,98.56,99.62,98.47,99.4,99.4,0,0,0
21/07/2026,99.33,99.42,98.58,99.14,99.14,100,1,9930
20/07/2026,99.05,100.2,99.05,99.34,99.34,0,0,0
17/07/2026,99.61,99.92,99.15,99.27,99.27,0,0,0
16/07/2026,99.71,100.08,99.24,100.02,100.02,100,1,9974
15/07/2026,99.5,99.5,99.5,99.5,99.5,0,0,0
14/07/2026,100.0,100.0,99.5,99.5,99.5,362,3,36200
13/07/2026,99.5,99.5,99.5,99.5,99.5,0,0,0
10/07/2026,99.5,99.5,99.5,99.5,99.5,0,0,0
