Data,"Ultimo","Apertura","Massimo","Minimo","Var. %"
07.08.2026,"94,880","94,750","94,890","94,690","0,06%"
06.08.2026,"94,820","94,890","94,910","94,820","-0,17%"
05.08.2026,"94,980","95,110","95,110","94,870","0,05%"
04.08.2026,"94,930","94,670","94,990","94,530","0,32%"
03.08.2026,"94,630","94,540","94,700","94,520","0,44%"
31.07.2026,"94,220","94,450","94,520","94,190","-0,18%"
30.07.2026,"94,390","94,140","94,410","94,140","0,07%"
29.07.2026,"94,320","94,590","94,640","94,300","-0,49%"
28.07.2026,"94,780","94,670","94,780","94,530","0,34%"
27.07.2026,"94,460","94,590","94,630","94,460","0,33%"
24.07.2026,"94,150","94,030","94,180","94,010","0,31%"
23.07.2026,"93,860","94,070","94,110","93,850","-0,35%"
22.07.2026,"94,190","94,170","94,310","94,040","-0,17%"
21.07.2026,"94,350","94,460","94,510","94,210","-0,10%"
20.07.2026,"94,440","94,340","94,610","94,340","-0,05%"
17.07.2026,"94,490","94,590","94,640","94,430","-0,06%"
16.07.2026,"94,550","94,690","94,690","94,400","-0,31%"
15.07.2026,"94,840","94,650","94,840","94,600","-0,08%"
14.07.2026,"94,920","94,510","94,980","94,510","-0,05%"
13.07.2026,"94,970","95,130","95,180","94,930","-0,30%"
10.07.2026,"95,260","95,250","95,320","95,150","0,11%"
09.07.2026,"95,160","94,970","95,160","94,920","0,32%"
08.07.2026,"94,860","95,190","95,270","94,850","-0,72%"
07.07.2026,"95,550","95,620","95,720","95,500","-0,29%"
06.07.2026,"95,830","95,910","95,950","95,810","0,00%"
03.07.2026,"95,830","95,980","95,980","95,810","-0,20%"
02.07.2026,"96,020","95,970","96,020","95,790","-0,04%"
01.07.2026,"96,060","96,030","96,080","95,870","-0,18%"
30.06.2026,"96,230","96,300","96,400","96,190","0,05%"
29.06.2026,"96,180","96,170","96,230","96,100","-0,03%"
26.06.2026,"96,210","96,180","96,250","96,100","0,08%"
25.06.2026,"96,130","96,170","96,240","96,080","0,04%"
24.06.2026,"96,090","95,870","96,180","95,830","0,23%"
23.06.2026,"95,870","95,820","95,970","95,800","0,07%"
22.06.2026,"95,800","95,700","95,850","95,580","0,28%"
19.06.2026,"95,530","95,740","95,740","95,530","-0,43%"
18.06.2026,"95,940","95,860","95,940","95,670","-0,03%"
17.06.2026,"95,970","96,030","96,070","95,820","0,07%"
16.06.2026,"95,900","95,780","95,990","95,740","0,17%"
15.06.2026,"95,740","95,740","95,830","95,720","0,38%"
12.06.2026,"95,380","95,390","95,600","95,220","0,39%"
11.06.2026,"95,010","94,740","95,090","94,730","0,26%"
10.06.2026,"94,760","94,930","94,990","94,620","-0,19%"
09.06.2026,"94,940","94,980","95,100","94,860","0,00%"
08.06.2026,"94,940","94,830","95,060","94,780","-0,08%"
05.06.2026,"95,020","95,180","95,300","95,000","-0,16%"
04.06.2026,"95,170","95,220","95,330","95,060","0,00%"
03.06.2026,"95,170","95,410","95,410","95,170","-0,42%"
02.06.2026,"95,570","95,700","95,750","95,550","0,22%"
01.06.2026,"95,360","95,650","95,670","95,200","-0,59%"
29.05.2026,"95,930","95,660","95,940","95,630","0,26%"
28.05.2026,"95,680","95,370","95,750","95,290","0,16%"
27.05.2026,"95,530","95,630","95,800","95,450","0,05%"
26.05.2026,"95,480","95,630","95,660","95,460","-0,31%"
25.05.2026,"95,780","95,540","95,880","95,540","0,65%"
22.05.2026,"95,160","95,040","95,270","94,980","0,48%"
21.05.2026,"94,710","94,780","94,970","94,570","-0,20%"
20.05.2026,"94,900","94,330","95,110","94,280","0,85%"
19.05.2026,"94,100","94,480","94,600","94,060","-0,28%"
18.05.2026,"94,360","94,160","94,630","94,090","0,06%"
15.05.2026,"94,300","94,680","94,800","94,250","-0,81%"
14.05.2026,"95,070","94,890","95,100","94,800","0,49%"
13.05.2026,"94,610","94,740","94,770","94,530","0,02%"
12.05.2026,"94,590","94,610","94,800","94,590","-0,42%"
11.05.2026,"94,990","95,220","95,260","94,990","-0,36%"
08.05.2026,"95,330","95,290","95,480","95,150","-0,02%"
07.05.2026,"95,350","95,520","95,650","95,350","0,03%"
06.05.2026,"95,320","94,890","95,560","94,850","0,78%"
05.05.2026,"94,580","94,350","94,590","94,330","0,34%"
04.05.2026,"94,260","94,610","94,650","94,220","-0,43%"
30.04.2026,"94,670","93,990","94,690","93,960","0,53%"
29.04.2026,"94,170","94,540","94,540","94,170","-0,44%"
28.04.2026,"94,590","94,680","94,730","94,330","-0,24%"
27.04.2026,"94,820","94,930","95,070","94,770","-0,22%"
24.04.2026,"95,030","94,800","95,040","94,680","-0,06%"
23.04.2026,"95,090","94,810","95,100","94,780","-0,05%"
22.04.2026,"95,140","95,350","95,410","95,100","-0,05%"
21.04.2026,"95,190","95,580","95,620","95,160","-0,37%"
20.04.2026,"95,540","95,440","95,610","95,300","-0,15%"
17.04.2026,"95,680","94,910","95,890","94,910","0,78%"
16.04.2026,"94,940","95,220","95,260","94,920","-0,03%"
15.04.2026,"94,970","95,240","95,260","94,890","-0,09%"
14.04.2026,"95,060","94,760","95,080","94,740","0,65%"
13.04.2026,"94,450","94,560","94,800","94,430","-0,43%"
10.04.2026,"94,860","95,130","95,140","94,790","-0,23%"
09.04.2026,"95,080","95,220","95,220","94,810","-0,39%"
08.04.2026,"95,450","95,480","95,790","95,250","1,74%"
07.04.2026,"93,820","94,390","94,660","93,750","-0,80%"
02.04.2026,"94,580","94,170","94,660","93,970","-0,01%"
01.04.2026,"94,590","95,130","95,140","94,450","0,39%"
31.03.2026,"94,220","93,880","94,300","93,760","0,34%"
30.03.2026,"93,900","93,560","93,940","93,410","0,79%"
27.03.2026,"93,160","93,510","93,520","92,990","-0,59%"
26.03.2026,"93,710","94,150","94,180","93,710","-1,00%"
25.03.2026,"94,660","94,370","94,740","94,360","0,63%"
24.03.2026,"94,070","94,490","94,620","93,800","-0,23%"
23.03.2026,"94,290","93,470","95,000","93,000","0,26%"
20.03.2026,"94,050","95,170","95,200","94,000","-0,96%"
19.03.2026,"94,960","94,860","95,100","94,500","-0,36%"
18.03.2026,"95,300","95,850","95,930","95,150","-0,35%"
17.03.2026,"95,630","95,360","95,770","95,360","0,28%"
16.03.2026,"95,360","95,100","95,590","95,040","0,38%"
13.03.2026,"95,000","94,950","95,440","94,950","-0,28%"
12.03.2026,"95,270","95,450","95,680","95,100","-0,38%"
11.03.2026,"95,630","96,190","96,230","95,600","-0,88%"
10.03.2026,"96,480","96,640","96,700","96,160","0,58%"
09.03.2026,"95,920","94,900","95,930","94,760","0,09%"
06.03.2026,"95,830","96,330","96,360","95,560","-0,44%"
05.03.2026,"96,250","96,790","97,060","96,250","-0,91%"
04.03.2026,"97,130","96,810","97,180","96,700","0,42%"
03.03.2026,"96,720","97,140","97,190","96,600","-0,85%"
02.03.2026,"97,550","97,900","97,940","97,500","-0,50%"
27.02.2026,"98,040","97,880","98,060","97,820","0,15%"
26.02.2026,"97,890","97,830","97,950","97,790","0,04%"
25.02.2026,"97,850","97,810","97,880","97,770","0,05%"
24.02.2026,"97,800","97,780","97,850","97,760","0,03%"
23.02.2026,"97,770","97,680","97,790","97,630","0,11%"
20.02.2026,"97,660","97,660","97,680","97,590","0,06%"
19.02.2026,"97,600","97,540","97,600","97,490","-0,03%"
18.02.2026,"97,630","97,610","97,680","97,560","0,02%"
17.02.2026,"97,610","97,660","97,680","97,590","0,06%"
16.02.2026,"97,550","97,650","97,680","97,500","0,00%"
13.02.2026,"97,550","97,490","97,600","97,430","0,13%"
12.02.2026,"97,420","97,320","97,460","97,280","0,08%"
11.02.2026,"97,340","97,340","97,340","97,180","0,04%"
10.02.2026,"97,300","97,120","97,300","97,120","0,25%"
09.02.2026,"97,060","96,990","97,090","96,900","0,11%"
06.02.2026,"96,950","97,000","97,080","96,920","0,05%"
05.02.2026,"96,900","96,820","96,940","96,780","-0,02%"
04.02.2026,"96,920","96,820","96,940","96,820","0,10%"
03.02.2026,"96,820","96,830","96,850","96,710","-0,05%"
02.02.2026,"96,870","96,950","97,030","96,830","-0,12%"
30.01.2026,"96,990","97,010","97,060","96,930","-0,10%"
29.01.2026,"97,090","97,010","97,100","96,940","0,13%"
28.01.2026,"96,960","97,010","97,050","96,940","0,05%"
27.01.2026,"96,910","96,840","96,950","96,780","0,01%"
26.01.2026,"96,900","96,710","96,930","96,700","0,26%"
23.01.2026,"96,650","96,660","96,740","96,570","-0,06%"
22.01.2026,"96,710","96,620","96,770","96,580","0,11%"
21.01.2026,"96,600","96,830","96,880","96,560","-0,11%"
20.01.2026,"96,710","96,740","96,750","96,510","-0,22%"
19.01.2026,"96,920","96,920","96,980","96,830","0,10%"
16.01.2026,"96,820","96,940","96,950","96,780","-0,11%"
15.01.2026,"96,930","96,900","96,960","96,840","0,05%"
14.01.2026,"96,880","96,770","96,890","96,700","0,17%"
13.01.2026,"96,720","96,710","96,760","96,630","-0,12%"
12.01.2026,"96,840","96,640","97,400","96,600","0,21%"
09.01.2026,"96,640","96,590","96,720","96,580","0,12%"
08.01.2026,"96,520","96,540","96,580","96,390","-0,06%"
07.01.2026,"96,580","96,600","96,730","96,510","0,12%"
06.01.2026,"96,460","96,160","96,500","96,160","0,25%"
05.01.2026,"96,220","96,060","96,230","96,030","0,14%"
02.01.2026,"96,090","96,170","96,240","96,030","-0,22%"
30.12.2025,"96,300","96,540","96,550","96,300","-0,30%"
29.12.2025,"96,590","96,400","96,590","96,370","0,35%"
